Protein_Accession	Sequence_MD5_digest	Sequence_Length	Analysis	Signature_Accession	Signature_Description	Start_Location	Stop_location	E-value_Score	Status	Date	InterPro_annotations_accession	InterPro_annotations_description
S0965	bcc8c89bd7ae741905da18aae85af732	105	Pfam	PF00593	TonB dependent receptor	27	105	3.5E-6	T	18-04-2018	IPR000531	TonB-dependent receptor-like, beta-barrel
S0965	bcc8c89bd7ae741905da18aae85af732	105	SUPERFAMILY	SSF56935		95	105	6.87E-6	T	18-04-2018
S0965	bcc8c89bd7ae741905da18aae85af732	105	SUPERFAMILY	SSF56935		25	66	6.87E-6	T	18-04-2018
S0965	bcc8c89bd7ae741905da18aae85af732	105	Gene3D	G3DSA:2.40.170.20		7	105	9.7E-6	T	18-04-2018	IPR036942	TonB-dependent receptor-like, beta-barrel domain superfamily
S0965	bcc8c89bd7ae741905da18aae85af732	105	MobiDBLite	mobidb-lite	consensus disorder prediction	84	105	-	T	18-04-2018
S3221	fbdd522622d3e1adc9734efd2b8511de	42	Pfam	PF16123	Hydroxyacylglutathione hydrolase C-terminus	1	42	1.4E-8	T	18-04-2018	IPR032282	Hydroxyacylglutathione hydrolase, C-terminal domain
S1895	cf33eb9ed2412f6c981756e36036b212	51	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	18-04-2018
S2768	116721f87febb6b1ea2c7f61645e5f79	28	Gene3D	G3DSA:1.20.1530.10		1	28	6.1E-9	T	18-04-2018	IPR023171	Na/H antiporter domain superfamily
S2768	116721f87febb6b1ea2c7f61645e5f79	28	Pfam	PF06965	Na+/H+ antiporter 1	2	27	7.8E-10	T	18-04-2018	IPR004670	Na+/H+ antiporter NhaA
S1475	dcad13e3df90a740128c8afcad3f21c5	27	MobiDBLite	mobidb-lite	consensus disorder prediction	1	27	-	T	18-04-2018
S0484	a15b616a1d7d7675e7fa2739c7810810	122	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	18-04-2018
S3213	7a719e324d9d93d001752eb1815bb28a	46	MobiDBLite	mobidb-lite	consensus disorder prediction	1	46	-	T	18-04-2018
S0964	df418a17a2ead71c7eb3b308d9f5a2cf	75	Gene3D	G3DSA:3.40.50.300		1	74	3.3E-8	T	18-04-2018
S0964	df418a17a2ead71c7eb3b308d9f5a2cf	75	SUPERFAMILY	SSF52540		3	71	8.39E-10	T	18-04-2018	IPR027417	P-loop containing nucleoside triphosphate hydrolase
S1564	3ae7a3d228bfd6e1bd85b2e6a6b85539	153	Pfam	PF04820	Tryptophan halogenase	67	153	5.4E-14	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1564	3ae7a3d228bfd6e1bd85b2e6a6b85539	153	MobiDBLite	mobidb-lite	consensus disorder prediction	1	20	-	T	18-04-2018
S1564	3ae7a3d228bfd6e1bd85b2e6a6b85539	153	Gene3D	G3DSA:3.50.50.60		24	153	5.3E-22	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1564	3ae7a3d228bfd6e1bd85b2e6a6b85539	153	SUPERFAMILY	SSF51905		85	153	1.11E-7	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0423	c0632232b2f08adc01ad6c518fb067b5	69	ProSiteProfiles	PS51664	YcaO domain profile.	1	69	11.748	T	18-04-2018	IPR003776	YcaO-like domain
S0423	c0632232b2f08adc01ad6c518fb067b5	69	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	18-04-2018
S0423	c0632232b2f08adc01ad6c518fb067b5	69	Pfam	PF02624	YcaO cyclodehydratase, ATP-ad Mg2+-binding	19	66	7.0E-8	T	18-04-2018	IPR003776	YcaO-like domain
S0423	c0632232b2f08adc01ad6c518fb067b5	69	Gene3D	G3DSA:2.40.50.820		1	69	8.4E-22	T	18-04-2018
S0979	506598f32d0b501e8ba64686554f838a	59	Gene3D	G3DSA:1.20.1270.240		2	17	3.8E-19	T	18-04-2018
S0979	506598f32d0b501e8ba64686554f838a	59	Gene3D	G3DSA:1.10.510.10		18	58	3.8E-19	T	18-04-2018
S0979	506598f32d0b501e8ba64686554f838a	59	SUPERFAMILY	SSF56112		9	58	1.6E-11	T	18-04-2018	IPR011009	Protein kinase-like domain superfamily
S0979	506598f32d0b501e8ba64686554f838a	59	Pfam	PF03881	Fructosamine kinase	17	58	1.9E-15	T	18-04-2018	IPR016477	Fructosamine/Ketosamine-3-kinase
S3134	39ce2fe66236e58938a18e03c48f40f4	119	Pfam	PF04820	Tryptophan halogenase	2	116	1.3E-34	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3134	39ce2fe66236e58938a18e03c48f40f4	119	Gene3D	G3DSA:3.50.50.60		1	119	5.8E-30	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1913	833b7e2f1a0943471db82fb309e8b4a6	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S3219	5e9cde51417bb5e1627884b625f8a490	91	Pfam	PF13768	von Willebrand factor type A domain	4	85	1.1E-7	T	18-04-2018	IPR002035	von Willebrand factor, type A
S3219	5e9cde51417bb5e1627884b625f8a490	91	SUPERFAMILY	SSF53300		4	85	5.56E-8	T	18-04-2018	IPR036465	von Willebrand factor A-like domain superfamily
S3219	5e9cde51417bb5e1627884b625f8a490	91	Gene3D	G3DSA:3.40.50.410		1	89	1.3E-10	T	18-04-2018	IPR036465	von Willebrand factor A-like domain superfamily
S2680	af68e97cba8319f8f2bae5b8586ba4b1	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S1874	b83ba66b14d0560d44e4078dbd908a05	158	Gene3D	G3DSA:3.50.50.60		1	158	8.8E-24	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1874	b83ba66b14d0560d44e4078dbd908a05	158	Pfam	PF04820	Tryptophan halogenase	2	157	3.7E-18	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2427	19cece4b841f82086a619e0be00ed27c	59	MobiDBLite	mobidb-lite	consensus disorder prediction	1	29	-	T	18-04-2018
S1238	1efa195a9a366c4d8c053e15ff5ee983	30	Gene3D	G3DSA:2.120.10.30		1	30	6.4E-8	T	18-04-2018	IPR011042	Six-bladed beta-propeller, TolB-like
S1238	1efa195a9a366c4d8c053e15ff5ee983	30	Pfam	PF08450	SMP-30/Gluconolaconase/LRE-like region	2	28	1.0E-6	T	18-04-2018	IPR013658	SMP-30/Gluconolactonase/LRE-like region
S2426	87b3fb01ceee997219149be99012ae72	59	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S0507	865f9dd7bb37dc920007f437855164af	41	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	18-04-2018
S0888	f314f67dd1ae264b55c6f85ee65395d2	155	Gene3D	G3DSA:3.50.50.60		46	155	6.2E-13	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0888	f314f67dd1ae264b55c6f85ee65395d2	155	Pfam	PF04820	Tryptophan halogenase	97	155	3.1E-9	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0888	f314f67dd1ae264b55c6f85ee65395d2	155	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	18-04-2018
S0888	f314f67dd1ae264b55c6f85ee65395d2	155	SUPERFAMILY	SSF51905		87	155	1.73E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0796	5e095f720851be46a7e0f8c907ec9218	32	MobiDBLite	mobidb-lite	consensus disorder prediction	1	32	-	T	18-04-2018
S1525	e7830e29f5d10f0bfae554efa0830aae	152	MobiDBLite	mobidb-lite	consensus disorder prediction	125	152	-	T	18-04-2018
S1525	e7830e29f5d10f0bfae554efa0830aae	152	MobiDBLite	mobidb-lite	consensus disorder prediction	1	112	-	T	18-04-2018
S1117	6efd8a994557ed785b26d67d12ec453a	95	SUPERFAMILY	SSF52374		2	93	4.29E-28	T	18-04-2018
S1117	6efd8a994557ed785b26d67d12ec453a	95	Gene3D	G3DSA:3.40.50.620		1	89	8.1E-32	T	18-04-2018	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
S1117	6efd8a994557ed785b26d67d12ec453a	95	Pfam	PF00133	tRNA synthetases class I (I, L, M and V)	4	90	5.3E-31	T	18-04-2018	IPR002300	Aminoacyl-tRNA synthetase, class Ia
S1963	09cd141a6ccae12858f1a244df19fd98	31	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S1537	fa612d4d83dd020e19cc022440b007b7	148	Gene3D	G3DSA:3.50.50.60		65	148	3.0E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S1537	fa612d4d83dd020e19cc022440b007b7	148	Pfam	PF04820	Tryptophan halogenase	58	145	2.6E-7	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1537	fa612d4d83dd020e19cc022440b007b7	148	SUPERFAMILY	SSF51905		77	146	5.05E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3585	3b6e19dcb9f59f012221af9daf67bf24	51	MobiDBLite	mobidb-lite	consensus disorder prediction	1	51	-	T	18-04-2018
S1276	87783e3ad4ae6ccfce45d855c1c11295	118	SUPERFAMILY	SSF52317		1	114	8.25E-26	T	18-04-2018	IPR029062	Class I glutamine amidotransferase-like
S1276	87783e3ad4ae6ccfce45d855c1c11295	118	Gene3D	G3DSA:3.40.50.880		1	117	1.7E-28	T	18-04-2018	IPR029062	Class I glutamine amidotransferase-like
S1276	87783e3ad4ae6ccfce45d855c1c11295	118	Pfam	PF01965	DJ-1/PfpI family	1	104	2.9E-11	T	18-04-2018	IPR002818	DJ-1/PfpI
S0513	3677ef79f816baec1d1785ab089441b6	45	Gene3D	G3DSA:3.40.50.10490		1	43	1.5E-8	T	18-04-2018
S0513	3677ef79f816baec1d1785ab089441b6	45	SUPERFAMILY	SSF53697		4	45	1.97E-6	T	18-04-2018
S0771	98bbe697ddc27a907c2ae0ae795a44fe	49	Pfam	PF07075	Protein of unknown function (DUF1343)	1	45	1.0E-14	T	18-04-2018	IPR008302	Uncharacterised conserved protein UCP016719
S0771	98bbe697ddc27a907c2ae0ae795a44fe	49	Gene3D	G3DSA:3.40.50.12170		1	49	9.3E-17	T	18-04-2018
S1060	f86fca07939623759777aca5a74b9e6d	91	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	T	18-04-2018
S3380	29ed6f2039a9ba8238fe44e1b7e89cca	106	MobiDBLite	mobidb-lite	consensus disorder prediction	73	106	-	T	18-04-2018
S0411	1e8240528d914e567d5b1a7c8af986b2	34	MobiDBLite	mobidb-lite	consensus disorder prediction	1	34	-	T	18-04-2018
S2484	5a6c6286b30913279e980b630e68c7c7	148	MobiDBLite	mobidb-lite	consensus disorder prediction	125	148	-	T	18-04-2018
S2484	5a6c6286b30913279e980b630e68c7c7	148	MobiDBLite	mobidb-lite	consensus disorder prediction	1	70	-	T	18-04-2018
S2289	088d7649887056fbc415a075366351b2	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S0649	061e9e0f6e27af41fb026657095a9776	53	MobiDBLite	mobidb-lite	consensus disorder prediction	1	53	-	T	18-04-2018
S1397	6d738728aeb39ba66f60ccda0bce40a2	45	Pfam	PF00593	TonB dependent receptor	10	42	1.0E-4	T	18-04-2018	IPR000531	TonB-dependent receptor-like, beta-barrel
S1397	6d738728aeb39ba66f60ccda0bce40a2	45	Gene3D	G3DSA:2.40.170.20		1	44	4.3E-6	T	18-04-2018	IPR036942	TonB-dependent receptor-like, beta-barrel domain superfamily
S1397	6d738728aeb39ba66f60ccda0bce40a2	45	SUPERFAMILY	SSF56935		9	42	1.68E-5	T	18-04-2018
S0597	98c5fea470be6879ffa222dd72c45999	69	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S0514	1612cfccb694c1dc63348ddf5857f68d	45	SUPERFAMILY	SSF53697		5	45	1.78E-6	T	18-04-2018
S0514	1612cfccb694c1dc63348ddf5857f68d	45	Gene3D	G3DSA:3.40.50.10490		1	43	4.2E-9	T	18-04-2018
S2335	84fbf7c9aa4df5f0619bba023651d1a2	54	MobiDBLite	mobidb-lite	consensus disorder prediction	1	54	-	T	18-04-2018
S2531	f46f49f5052a94a435c77e9997ab7b4f	53	MobiDBLite	mobidb-lite	consensus disorder prediction	32	53	-	T	18-04-2018
S2248	273636c50b6c23e040d8eea0a265e5af	149	SUPERFAMILY	SSF51905		86	147	3.7E-5	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2248	273636c50b6c23e040d8eea0a265e5af	149	MobiDBLite	mobidb-lite	consensus disorder prediction	1	81	-	T	18-04-2018
S2248	273636c50b6c23e040d8eea0a265e5af	149	Gene3D	G3DSA:3.50.50.60		44	149	2.3E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2248	273636c50b6c23e040d8eea0a265e5af	149	Pfam	PF04820	Tryptophan halogenase	89	146	2.8E-6	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1967	7bafffc2f2db262620e6f9b8810786cb	70	SUPERFAMILY	SSF56349		1	69	3.41E-7	T	18-04-2018	IPR011010	DNA breaking-rejoining enzyme, catalytic core
S2448	83b4130114711f0ec6c10cd13e161101	33	MobiDBLite	mobidb-lite	consensus disorder prediction	1	33	-	T	18-04-2018
S1349	f489a6f21836019229977e2c1706c95c	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	31	-	T	18-04-2018
S1966	d1b6353b4a6422254a1aaab28bdedbc7	52	Gene3D	G3DSA:3.40.50.150		3	52	2.5E-11	T	18-04-2018
S1966	d1b6353b4a6422254a1aaab28bdedbc7	52	SUPERFAMILY	SSF53335		7	51	6.62E-7	T	18-04-2018	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
S2870	652b38ef444fb2f2ee826c1e24d7cec9	154	Gene3D	G3DSA:3.50.50.60		1	154	6.3E-48	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2870	652b38ef444fb2f2ee826c1e24d7cec9	154	Pfam	PF04820	Tryptophan halogenase	2	153	5.3E-38	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3576	5f4af6f252bb624a20c2155bace27c8f	71	MobiDBLite	mobidb-lite	consensus disorder prediction	27	51	-	T	18-04-2018
S1883	5839d08b1c4611eb1395c8adbc48ba31	56	Pfam	PF07733	Bacterial DNA polymerase III alpha subunit	2	54	3.4E-18	T	18-04-2018	IPR011708	Bacterial DNA polymerase III, alpha subunit
S1326	d552c648e7b52443d7d9b78125c7208c	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S1326	d552c648e7b52443d7d9b78125c7208c	30	Gene3D	G3DSA:3.30.70.260		1	30	4.4E-5	T	18-04-2018
S0272	d56accd152025e309494d6e2917c27f8	153	Pfam	PF04820	Tryptophan halogenase	5	153	1.9E-16	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0272	d56accd152025e309494d6e2917c27f8	153	Gene3D	G3DSA:3.50.50.60		1	153	6.3E-19	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0272	d56accd152025e309494d6e2917c27f8	153	SUPERFAMILY	SSF51905		82	153	6.57E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0581	90eb098846dee59b7eca442490678430	45	Gene3D	G3DSA:3.40.50.10490		1	42	1.4E-7	T	18-04-2018
S0654	3006b0838d4ef16fd66afa9df11df8b4	148	Gene3D	G3DSA:3.50.50.60		48	147	1.6E-8	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S0654	3006b0838d4ef16fd66afa9df11df8b4	148	Pfam	PF04820	Tryptophan halogenase	68	145	1.3E-7	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S0713	a7cb321b56382cc1e56625864ccf344f	28	SUPERFAMILY	SSF51658		1	28	4.75E-6	T	18-04-2018	IPR036237	Xylose isomerase-like superfamily
S2452	21b3be4d7a00f7ac62a884e438155ec5	43	MobiDBLite	mobidb-lite	consensus disorder prediction	1	43	-	T	18-04-2018
S2391	3bca1ce0cc72ff0ecda0b9c1683cae10	36	MobiDBLite	mobidb-lite	consensus disorder prediction	1	36	-	T	18-04-2018
S1241	817b59dbe1dca29a23313a9045bf8e93	32	Pfam	PF01053	Cys/Met metabolism PLP-dependent enzyme	1	31	3.6E-6	T	18-04-2018	IPR000277	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme
S1241	817b59dbe1dca29a23313a9045bf8e93	32	SUPERFAMILY	SSF53383		2	32	2.83E-9	T	18-04-2018	IPR015424	Pyridoxal phosphate-dependent transferase
S1241	817b59dbe1dca29a23313a9045bf8e93	32	Gene3D	G3DSA:3.40.640.10		1	32	7.9E-9	T	18-04-2018	IPR015421	Pyridoxal phosphate-dependent transferase, major domain
S1037	9f5d140a91b151d4597846a1c7002c7c	101	MobiDBLite	mobidb-lite	consensus disorder prediction	1	62	-	T	18-04-2018
S1162	2f4537a7ce4022e811b7b9e9b15038b7	112	Pfam	PF09099	Quinohemoprotein amine dehydrogenase, alpha subunit domain III	44	112	1.2E-6	T	18-04-2018	IPR015183	Quinohemoprotein amine dehydrogenase, alpha subunit domain III
S1162	2f4537a7ce4022e811b7b9e9b15038b7	112	Pfam	PF14930	Quinohemoprotein amine dehydrogenase, alpha subunit domain II	4	38	3.8E-6	T	18-04-2018	IPR009111	Quinohemoprotein amine dehydrogenase, alpha subunit, domain 2
S1162	2f4537a7ce4022e811b7b9e9b15038b7	112	Gene3D	G3DSA:2.40.128.120		1	41	4.5E-5	T	18-04-2018	IPR036718	Quinohemoprotein amine dehydrogenase alpha subunit, domain 2 superfamily
S0814	d4ea87a9d7cb3f229dd88b72b6eab4e8	54	Pfam	PF00805	Pentapeptide repeats (8 copies)	15	53	2.6E-14	T	18-04-2018	IPR001646	Pentapeptide repeat
S0814	d4ea87a9d7cb3f229dd88b72b6eab4e8	54	SUPERFAMILY	SSF141571		4	54	4.84E-15	T	18-04-2018
S0814	d4ea87a9d7cb3f229dd88b72b6eab4e8	54	Gene3D	G3DSA:2.160.20.80		1	54	1.4E-16	T	18-04-2018
S3392	c4f9837a1bdb0e0313ff4fe7317c1c3f	92	Pfam	PF00296	Luciferase-like monooxygenase	11	91	5.7E-14	T	18-04-2018	IPR011251	Luciferase-like domain
S3392	c4f9837a1bdb0e0313ff4fe7317c1c3f	92	Gene3D	G3DSA:3.20.20.30		1	92	1.3E-21	T	18-04-2018	IPR036661	Luciferase-like domain superfamily
S3392	c4f9837a1bdb0e0313ff4fe7317c1c3f	92	SUPERFAMILY	SSF51679		4	90	2.88E-16	T	18-04-2018	IPR036661	Luciferase-like domain superfamily
S3501	94022d7393d0d00ff8c94d969c2c2a7a	61	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	18-04-2018
S1102	48b3ac9a58f1ef21b173f8c6da71a0b1	33	Gene3D	G3DSA:3.30.70.1660		1	33	9.4E-12	T	18-04-2018
S1102	48b3ac9a58f1ef21b173f8c6da71a0b1	33	SUPERFAMILY	SSF75620		1	33	7.59E-12	T	18-04-2018
S3506	cdbec2683858de99b54507c6f674297a	107	MobiDBLite	mobidb-lite	consensus disorder prediction	54	87	-	T	18-04-2018
S3445	8ed8cc4a345908eb43ee8636c8bf82e0	63	Gene3D	G3DSA:3.90.110.10		1	63	3.3E-23	T	18-04-2018	IPR015955	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal
S3445	8ed8cc4a345908eb43ee8636c8bf82e0	63	Pfam	PF02056	Family 4 glycosyl hydrolase	1	58	1.2E-15	T	18-04-2018	IPR001088	Glycoside hydrolase, family 4
S3445	8ed8cc4a345908eb43ee8636c8bf82e0	63	SUPERFAMILY	SSF51735		2	49	1.22E-9	T	18-04-2018	IPR036291	NAD(P)-binding domain superfamily
S0903	f7481d036fbd9b61e724810adc3d5d80	39	MobiDBLite	mobidb-lite	consensus disorder prediction	1	39	-	T	18-04-2018
S0556	9446b929a100803392ad6a3e77f0ca67	64	Gene3D	G3DSA:3.10.180.10		1	64	2.0E-6	T	18-04-2018	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
S0556	9446b929a100803392ad6a3e77f0ca67	64	SUPERFAMILY	SSF54593		2	63	3.06E-6	T	18-04-2018	IPR029068	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase
S1061	74ca3140be78ddc88fbd795cd89ca17d	91	MobiDBLite	mobidb-lite	consensus disorder prediction	1	26	-	T	18-04-2018
S1590	d4f51e2a5230489e752289c463115781	147	MobiDBLite	mobidb-lite	consensus disorder prediction	1	147	-	T	18-04-2018
S2428	44fe94c1119f47b2b643eff0ca49a566	59	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	T	18-04-2018
S2979	b763250a41fc2ad9a05e8cf222c7efb5	146	MobiDBLite	mobidb-lite	consensus disorder prediction	73	96	-	T	18-04-2018
S2979	b763250a41fc2ad9a05e8cf222c7efb5	146	Pfam	PF04820	Tryptophan halogenase	4	72	5.0E-16	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S2979	b763250a41fc2ad9a05e8cf222c7efb5	146	Gene3D	G3DSA:3.50.50.60		1	109	8.5E-14	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2832	459ade04015363a7a446185d8b5cf24c	81	Gene3D	G3DSA:2.130.10.10		1	57	1.3E-5	T	18-04-2018	IPR015943	WD40/YVTN repeat-like-containing domain superfamily
S0966	0a692c4808ce7bef008a3e3f2f18e443	105	SUPERFAMILY	SSF56935		95	105	2.33E-5	T	18-04-2018
S0966	0a692c4808ce7bef008a3e3f2f18e443	105	SUPERFAMILY	SSF56935		16	66	2.33E-5	T	18-04-2018
S0966	0a692c4808ce7bef008a3e3f2f18e443	105	MobiDBLite	mobidb-lite	consensus disorder prediction	73	105	-	T	18-04-2018
S0966	0a692c4808ce7bef008a3e3f2f18e443	105	Gene3D	G3DSA:2.40.170.20		5	105	1.7E-5	T	18-04-2018	IPR036942	TonB-dependent receptor-like, beta-barrel domain superfamily
S3103	011e96121d718ea216cef95cca5183d4	151	Gene3D	G3DSA:3.50.50.60		1	151	2.2E-38	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3103	011e96121d718ea216cef95cca5183d4	151	SUPERFAMILY	SSF51905		28	53	1.67E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3103	011e96121d718ea216cef95cca5183d4	151	SUPERFAMILY	SSF51905		80	148	1.67E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3103	011e96121d718ea216cef95cca5183d4	151	Pfam	PF04820	Tryptophan halogenase	4	150	1.3E-42	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S3330	fa4206330de6fceb3ee7ec7c20ddc38a	36	SUPERFAMILY	SSF52058		3	36	3.45E-5	T	18-04-2018
S3330	fa4206330de6fceb3ee7ec7c20ddc38a	36	Gene3D	G3DSA:3.80.10.10		1	36	3.7E-5	T	18-04-2018	IPR032675	Leucine-rich repeat domain superfamily
S3504	e25643f272ba1a7ffe779c882061f996	67	SUPERFAMILY	SSF103501		4	67	2.62E-17	T	18-04-2018	IPR036197	NarG-like superfamily
S3504	e25643f272ba1a7ffe779c882061f996	67	Pfam	PF02665	Nitrate reductase gamma subunit	4	66	4.2E-19	T	18-04-2018	IPR023234	NarG-like domain
S3504	e25643f272ba1a7ffe779c882061f996	67	Gene3D	G3DSA:1.20.950.20		1	67	4.3E-21	T	18-04-2018
S2245	772e93d4b20d41990dd931bb7d6c6b31	64	MobiDBLite	mobidb-lite	consensus disorder prediction	1	64	-	T	18-04-2018
S0497	d88844cfe69921fa158b73148e787eb7	123	MobiDBLite	mobidb-lite	consensus disorder prediction	1	24	-	T	18-04-2018
S1572	8b7fd576ef2fd81fcf64f9dbad3abee6	40	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	18-04-2018
S1414	8db748e4eb04ddba8cd5e5aeaed7eb83	37	MobiDBLite	mobidb-lite	consensus disorder prediction	1	37	-	T	18-04-2018
S3209	a0562089f0ff201b21467e8dcbe75b02	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S3428	bcde01056d4d06b04faa4d370ec740cf	73	Coils	Coil		33	53	-	T	18-04-2018
S1127	9e4aa22acbc6468fc057f84508999ee6	93	SUPERFAMILY	SSF46785		2	74	2.18E-9	T	18-04-2018	IPR036390	Winged helix DNA-binding domain superfamily
S1127	9e4aa22acbc6468fc057f84508999ee6	93	Pfam	PF01475	Ferric uptake regulator family	4	93	1.7E-9	T	18-04-2018	IPR002481	Ferric-uptake regulator
S1127	9e4aa22acbc6468fc057f84508999ee6	93	Gene3D	G3DSA:3.30.1490.190		48	93	1.3E-7	T	18-04-2018
S2109	6e2e89c6c5a10fdb914ce4fd675ec79f	47	SUPERFAMILY	SSF51182		3	47	4.16E-6	T	18-04-2018	IPR011051	RmlC-like cupin domain superfamily
S2109	6e2e89c6c5a10fdb914ce4fd675ec79f	47	Gene3D	G3DSA:2.60.120.10		1	47	8.4E-6	T	18-04-2018	IPR014710	RmlC-like jelly roll fold
S3377	c6ea8f3c30b80169b10868286210253d	106	MobiDBLite	mobidb-lite	consensus disorder prediction	73	106	-	T	18-04-2018
S3452	95a534715285666f505813966d5f220c	30	MobiDBLite	mobidb-lite	consensus disorder prediction	1	30	-	T	18-04-2018
S2921	24f89515737c71b6a6acc9d77b1d2573	149	Gene3D	G3DSA:3.50.50.60		1	149	8.1E-36	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S2921	24f89515737c71b6a6acc9d77b1d2573	149	Pfam	PF04820	Tryptophan halogenase	4	148	1.0E-38	T	18-04-2018	IPR006905	Flavin-dependent halogenase
S1577	bbaf646d927aa713401f28b1c7b59d84	35	MobiDBLite	mobidb-lite	consensus disorder prediction	1	35	-	T	18-04-2018
S1172	9331c73bd535a726d3942622e34f1b89	84	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	18-04-2018
S1172	9331c73bd535a726d3942622e34f1b89	84	Gene3D	G3DSA:1.10.3720.10		24	84	3.1E-5	T	18-04-2018	IPR035906	MetI-like superfamily
S1172	9331c73bd535a726d3942622e34f1b89	84	SUPERFAMILY	SSF161098		30	84	2.4E-6	T	18-04-2018	IPR035906	MetI-like superfamily
S2000	49ab515bfc03894ae255ba75df75aafc	101	Coils	Coil		54	74	-	T	18-04-2018
S2000	49ab515bfc03894ae255ba75df75aafc	101	Pfam	PF00919	Uncharacterized protein family UPF0004	9	100	3.6E-27	T	18-04-2018	IPR013848	Methylthiotransferase, N-terminal
S2000	49ab515bfc03894ae255ba75df75aafc	101	ProSiteProfiles	PS51449	Methylthiotransferase N-terminal domain profile.	6	101	22.132	T	18-04-2018	IPR013848	Methylthiotransferase, N-terminal
S2000	49ab515bfc03894ae255ba75df75aafc	101	Gene3D	G3DSA:3.40.50.12160		8	101	5.3E-36	T	18-04-2018	IPR038135	Methylthiotransferase, N-terminal domain superfamily
S2365	1458099c720676f6578ca2e08a638a88	44	MobiDBLite	mobidb-lite	consensus disorder prediction	1	44	-	T	18-04-2018
S3054	ac1207fa805fb30109fe61a2e2299841	151	SUPERFAMILY	SSF51905		33	148	3.02E-6	T	18-04-2018	IPR036188	FAD/NAD(P)-binding domain superfamily
S3054	ac1207fa805fb30109fe61a2e2299841	151	Pfam	PF04820	Tryptophan halogenase	4	151	1.1E-42	T	18-04-2018	IPR006905	Flavin-dependent halogenase
